,State,0to5,5to10,10to20,20to30,30to40,40to50,50to60,60to70,70to80,80to90,90to95,95to100,overall
0,Andhra Pradesh,1952.45,2441.61,2861.11,3320.33,3721.22,4126.01,4570.38,5111.09,5754.47,6732.2,8062.01,12560.23,4870.29
2,Arunachal Pradesh,1633.62,2134.52,2609.72,3204.73,3851.04,4473.68,5034.51,5716.99,6557.78,7868.36,9549.13,13576.41,5276.33
4,Assam,1523.18,1905.0,2202.27,2507.85,2781.87,3052.17,3321.98,3635.15,4001.93,4564.87,5451.54,7630.4,3432.4
6,Bihar,1338.47,1777.1,2113.42,2440.42,2717.19,2979.66,3259.03,3574.56,3990.1,4607.86,5439.94,7761.65,3384.11
8,Chhattisgarh,882.13,1140.56,1351.98,1590.83,1823.71,2044.16,2281.72,2564.1,2972.4,3558.42,4332.78,6598.64,2466.16
10,Delhi,2925.79,3791.4,4180.92,4658.88,5139.39,5717.42,6355.29,7113.31,7891.71,8871.08,10685.7,14197.45,6575.67
12,Goa,3523.52,4190.49,4812.08,5328.68,5857.4,6330.06,6956.85,7494.64,8295.31,9743.49,11593.41,18295.16,7366.57
14,Gujarat,1705.88,2101.9,2389.07,2670.21,2938.75,3213.79,3539.29,3912.03,4405.48,5173.27,6283.38,9394.69,3798.3
16,Haryana,1830.35,2391.55,2900.21,3397.15,3824.92,4230.61,4657.07,5129.03,5755.14,6730.55,8042.46,11654.0,4858.69
18,Himachal Pradesh,2203.21,2678.45,3048.82,3437.67,3854.09,4324.66,4797.85,5419.26,6354.91,7840.44,10367.61,17822.04,5560.85
20,Jharkhand,1050.41,1339.14,1569.35,1814.35,2048.21,2275.51,2557.73,2913.36,3356.59,4017.87,4798.94,6966.18,2763.27
22,Karnataka,1958.33,2361.66,2734.3,3081.12,3395.48,3755.13,4156.21,4587.33,5173.84,6071.29,7230.89,10485.54,4397.47
24,Kerala,2112.64,2750.78,3230.71,3737.11,4186.83,4666.97,5231.5,5884.45,6811.47,8385.59,10653.97,18676.91,5923.62
26,Madhya Pradesh,1291.18,1608.5,1895.07,2184.7,2433.07,2685.53,2936.87,3254.41,3655.89,4265.37,5149.03,7584.39,3112.63
28,Maharashtra,1385.57,1806.2,2142.89,2474.82,2809.38,3153.97,3556.27,4045.17,4686.3,5686.48,7239.24,12670.85,4010.45
30,Manipur,1883.38,2360.36,2708.11,3064.39,3432.78,3799.5,4200.76,4658.27,5203.09,6031.38,7072.87,9694.85,4360.41
32,Meghalaya,1467.52,1837.06,2155.66,2484.38,2772.56,3076.84,3382.6,3707.97,4167.93,4776.55,5614.56,8312.95,3513.84
34,Mizoram,2123.44,2662.62,3184.26,3574.08,3941.78,4338.82,4834.19,5420.61,6112.83,7291.84,8772.86,13522.52,5223.69
36,Nagaland,1659.6,2282.55,2607.0,2957.75,3320.64,3687.57,4090.8,4609.74,5295.19,6248.96,7365.3,10928.11,4393.09
38,Odisha,1247.13,1560.95,1809.09,2058.02,2289.21,2510.95,2762.52,3059.26,3438.51,4057.54,4912.59,7303.12,2949.62
40,Punjab,2376.8,2921.26,3315.42,3758.82,4131.67,4581.16,5037.05,5564.76,6240.98,7268.38,8591.88,12617.41,5314.74
42,Rajasthan,1509.61,1921.6,2313.6,2715.65,3085.4,3461.32,3844.67,4284.05,4858.32,5779.27,7225.67,13918.63,4263.14
44,Sikkim,3320.86,4173.45,4867.36,5574.16,6224.27,6874.1,7493.62,8121.12,8910.48,10254.59,12566.81,17885.49,7730.89
46,Tamil Nadu,2040.69,2676.06,3163.48,3643.09,4032.4,4449.71,4924.37,5479.38,6234.8,7481.8,9032.47,13638.97,5310.33
48,Telangana,2168.33,2665.26,3058.59,3458.79,3850.64,4230.05,4635.08,5114.71,5705.02,6517.39,7496.41,10573.77,4802.23
50,Tripura,2365.08,2939.85,3401.2,3816.27,4194.89,4614.3,5036.36,5501.09,6128.4,7036.37,8251.63,11103.52,5206.25
52,Uttar Pradesh,1376.55,1695.23,1951.2,2225.27,2468.85,2720.2,2993.26,3309.14,3713.91,4344.06,5252.84,8043.12,3190.98
54,Uttarakhand,1894.12,2325.92,2698.48,3103.92,3483.62,3954.11,4379.65,4927.79,5609.36,6620.5,7850.0,11144.53,4640.92
56,West Bengal,1384.97,1754.7,2019.49,2273.57,2508.88,2752.99,3037.71,3366.79,3788.77,4437.09,5329.27,7944.57,3239.16
58,Andaman & N. Island,3066.22,3693.42,4159.91,4655.69,5394.6,6013.18,6661.09,7462.76,8506.5,10016.21,12765.21,21556.54,7331.6
60,Chandigarh,3870.74,4367.86,4774.78,5329.24,5729.96,6282.82,6981.43,7802.94,8823.84,9974.45,11928.32,17780.22,7466.85
62,Dadra & Nagar Haveli and Daman & Diu,1476.81,1708.52,2045.71,2499.02,2954.95,3349.43,3851.54,4411.04,5292.04,6404.54,7979.59,10918.32,4184.1
64,Jammu & Kashmir,1800.37,2143.95,2454.21,2819.93,3174.28,3487.44,3860.4,4391.24,5137.37,6293.57,7839.98,10883.5,4295.69
66,Ladakh,1295.96,1595.67,1892.41,2462.26,2940.7,3474.69,3926.38,4481.73,4993.87,5753.25,6917.43,11182.88,4035.29
68,Lakshadweep,2760.78,3280.42,3568.21,3894.12,4301.81,4609.71,5060.42,5766.14,6863.16,8633.39,11249.71,15214.14,5895.49
70,Puducherry,2819.35,3488.69,3935.35,4488.61,4967.28,5326.84,5736.22,6187.2,6823.81,8309.17,9606.93,24259.81,6590.34
72,India,1372.57,1781.9,2111.71,2453.62,2768.31,3093.9,3454.75,3887.09,4458.35,5355.7,6637.51,10501.23,3773.05
